personID,name,dOB,pOB,height,weight,handedness,pid
316,Nicklas Backstrom,1987-11-23,"Gavle, Sweden",185,93,L,b/backsni02
317,Jay Beagle,1985-10-16,"Calgary, Alberta",190,95,R,b/beaglja01
318,Troy Brouwer,1985-08-17,"Vancouver, British Columbia",190,96,R,b/brouwtr01
319,John Carlson,1990-01-10,"Natick, Massachusetts",190,97,R,c/carlsjo01
320,Jason Chimera,1979-05-02,"Edmonton, Alberta",190,97,L,c/chimeja01
321,Joey Crabb,1983-04-03,"Anchorage, Alaska",185,86,R,c/crabbjo01
322,Martin Erat,1981-08-29,"Trebic, Czechoslovakia",183,88,L,e/eratma01
323,John Erskine,1980-06-26,"Kingston, Ontario",193,99,L,e/erskijo01
324,Eric Fehr,1985-09-07,"Winkler, Manitoba",193,94,R,f/fehrer01
325,Mike Green,1985-10-12,"Calgary, Alberta",185,95,R,g/greenmi03
326,Philipp Grubauer,1991-11-25,"Rosenheim, Germany",185,85,L,g/grubaph01
327,Roman Hamrlik,1974-04-12,"Zlin, Czechoslovakia",188,93,L,h/hamrlro01
328,Matt Hendricks,1981-06-17,"Blaine, Minnesota",183,95,L,h/hendrma01
329,Jack Hillen,1986-01-24,"Minnetonka, Minnesota",178,86,L,h/hilleja01
330,Braden Holtby,1989-09-16,"Lloydminster, Saskatchewan",185,97,L,h/holtbbr01
331,Marcus Johansson,1990-10-06,"Landskrona, Sweden",185,92,L,j/johanma03
332,Tomas Kundratek,1989-12-26,"Prerov, Czechoslovakia",188,91,None,k/kundrto01
333,Brooks Laich,1983-06-23,"Wawota, Saskatchewan",188,90,L,l/laichbr01
334,Michal Neuvirth,1988-03-23,"Usti Nad Labem, Czechoslovakia",185,94,L,n/neuvimi01
335,Steven Oleksy,1986-02-04,"Chesterfield, Michigan",180,85,R,o/oleksst01
336,Dmitry Orlov,1991-07-23,"Novokuznetsk, USSR",180,95,L,o/orlovdm01
337,Alex Ovechkin,1985-09-17,"Moscow, USSR",190,107,R,o/ovechal01
338,Mathieu Perreault,1988-01-05,"Drummondville, Quebec",178,85,L,p/perrema01
339,Tom Poti,1977-03-22,"Worcester, Massachusetts",190,86,L,p/potito01
340,Mike Ribeiro,1980-02-10,"Montreal, Quebec",183,81,L,r/ribeimi01
341,Cameron Schilling,1988-10-07,"Carmel, Indiana",188,82,L,s/schilca01
342,Jeff Schultz,1986-02-25,"Calgary, Alberta",198,102,L,s/schulje02
343,Joel Ward,1980-12-02,"North York, Ontario",185,102,R,w/wardjo02
344,Wojtek Wolski,1986-02-24,"Zabrze, Poland",190,97,L,w/wolskwo01
345,John Tortorella,1958-06-24,"Boston, United States",None,None,None,/coaches/tortojo99c.html
346,Arron Asham,1978-04-13,"Portage La Prairie, Manitoba",180,92,R,a/ashamar01
347,Stu Bickel,1986-10-02,"Chanhassen, Minnesota",193,93,R,b/bickest01
348,Martin Biron,1977-08-15,"Lac-St-Charles, Quebec",188,84,L,b/bironma01
349,Brian Boyle,1984-12-18,"Hingham, Massachusetts",198,111,L,b/boylebr01
350,Derick Brassard,1987-09-22,"Hull, Quebec",185,91,L,b/brassde01
351,Ryan Callahan,1985-03-21,"Rochester, New York",178,84,R,c/callary01
352,Michael Del Zotto,1990-06-24,"Stouffville, Ontario",183,88,L,d/delzomi01
353,Steve Eminger,1983-10-31,"Woodbridge, Ontario",188,93,R,e/emingst01
354,Benn Ferriero,1987-04-29,"Essex, Massachusetts",180,88,None,f/ferribe01
355,Marian Gaborik,1982-02-14,"Trencin, Czechoslovakia",185,90,L,g/gaborma01
356,Matt Gilroy,1984-07-20,"North Bellmore, New York",185,90,R,g/gilroma01
357,Dan Girardi,1984-04-29,"Welland, Ontario",185,96,R,g/girarda01
358,Carl Hagelin,1988-08-23,"Sodertalje, Sweden",180,83,L,h/hagelca01
359,Micheal Haley,1986-03-30,"Guelph, Ontario",180,92,L,h/haleymi01
360,Chris Kreider,1991-04-30,"Boxford, Massachusetts",190,98,L,k/kreidch01
361,Henrik Lundqvist,1982-03-02,"Are, Sweden",185,82,L,l/lundqhe01
362,Brandon Mashinter,1988-09-20,"Bradford, Ontario",193,96,L,m/mashibr01
363,Ryan McDonagh,1989-06-13,"St. Paul, Minnesota",185,97,L,m/mcdonry01
364,J.T. Miller,1993-03-14,"East Palestine, Ohio",185,98,L,m/millejt01
365,John Moore,1990-11-19,"Winnetka, Illinois",188,95,L,m/moorejo01
366,Rick Nash,1984-06-16,"Brampton, Ontario",193,95,L,n/nashri01
367,Kris Newbury,1982-02-19,"Brampton, Ontario",180,92,L,n/newbukr01
368,Darroll Powe,1985-06-22,"Saskatoon, Saskatchewan",180,96,L,p/poweda01
369,Taylor Pyatt,1981-08-19,"Thunder Bay, Ontario",193,104,L,p/pyattta01
370,Brad Richards,1980-05-02,"Murray Harbour, Prince Edward Island",183,90,L,r/richabr01
371,Mike Rupp,1980-01-13,"Cleveland, Ohio",196,110,L,r/ruppmi01
372,Brandon Segal,1983-07-12,"Richmond, British Columbia",188,97,R,s/segalbr01
373,Marc Staal,1987-01-13,"Thunder Bay, Ontario",193,96,L,s/staalma01
374,Derek Stepan,1990-06-18,"Hastings, Minnesota",180,88,R,s/stepade01
375,Anton Stralman,1986-08-01,"Tibro, Sweden",180,84,R,s/stralan01
376,Christian Thomas,1992-05-26,"Toronto, Ontario",175,79,R,t/thomach01
377,Mats Zuccarello,1987-09-01,"Oslo, Norway",173,83,L,z/zuccama01
378,Mike Babcock,1963-04-29,"Manitouwadge, Ontario",None,None,None,/coaches/babcomi99c.html
379,Justin Abdelkader,1987-02-25,"Muskegon, Michigan",188,96,L,a/abdelju01
380,Joakim Andersson,1989-02-05,"Munkedal, Sweden",188,95,L,a/anderjo03
381,Todd Bertuzzi,1975-02-02,"Sudbury, Ontario",190,103,L,b/bertuto01
382,Damien Brunner,1986-03-09,"Oberlunkhofen, Switzerland",180,83,R,b/brunnda01
383,Dan Cleary,1978-12-18,"Carbonear, Newfoundland and Labrador",185,92,L,c/clearda01
384,Carlo Colaiacovo,1983-01-27,"Toronto, Ontario",185,91,L,c/colaica01
385,Pavel Datsyuk,1978-07-20,"Sverdlovsk, USSR",180,87,L,d/datsypa01
386,Danny DeKeyser,1990-03-07,"Detroit, Michigan",190,86,L,d/dekeyda01
387,Patrick Eaves,1984-05-01,"Calgary, Alberta",180,92,R,e/eavespa01
388,Cory Emmerton,1988-06-01,"St. Thomas, Ontario",183,86,L,e/emmerco01
389,Jonathan Ericsson,1984-03-02,"Karlskrona, Sweden",193,98,L,e/ericsjo01
390,Valtteri Filppula,1984-03-20,"Vantaa, Finland",183,85,L,f/filppva01
391,Johan Franzen,1979-12-23,"Vetlanda, Sweden",193,105,L,f/franzjo01
392,Jonas Gustavsson,1984-10-24,"Danderyd, Sweden",193,91,L,g/gustajo01
393,Darren Helm,1987-01-21,"St. Andrews, Manitoba",183,87,L,h/helmda01
394,Jimmy Howard,1984-03-26,"Syracuse, New York",185,98,L,h/howarja02
395,Kent Huskins,1979-05-04,"Almonte, Ontario",193,95,L,h/huskike01
396,Jakub Kindl,1987-02-10,"Sumperk, Czechoslovakia",190,90,L,k/kindlja01
397,Niklas Kronwall,1981-01-12,"Stockholm, Sweden",183,87,L,k/kronwni01
398,Brian Lashoff,1990-07-16,"Albany, New York",190,96,L,l/lashobr01
399,Drew Miller,1984-02-17,"Dover, New Jersey",188,83,L,m/milledr01
400,Petr Mrazek,1992-02-14,"Ostrava, Czechoslovakia",185,86,L,m/mrazepe01
401,Jan Mursak,1988-01-20,"Maribor, Slovenia",180,86,R,m/mursaja01
402,Gustav Nyquist,1989-09-01,"Halmstad, Sweden",180,81,L,n/nyquigu01
403,Kyle Quincey,1985-08-12,"Kitchener, Ontario",188,95,L,q/quincky01
404,Mikael Samuelsson,1976-12-23,"Mariefred, Sweden",188,98,R,s/samuemi01
405,Riley Sheahan,1991-12-07,"St. Catharines, Ontario",193,92,L,s/sheahri01
406,Brendan Smith,1989-02-08,"Mimico, Ontario",188,91,L,s/smithbr05
407,Tomas Tatar,1990-12-01,"Ilava, Czechoslovakia",178,78,L,t/tatarto01
408,Jordin Tootoo,1983-02-02,"Churchill, Manitoba",175,88,R,t/tootojo01
409,Ian White,1984-06-04,"Steinbach, Manitoba",178,86,R,w/whiteia01
410,Henrik Zetterberg,1980-10-09,"Njurunda, Sweden",183,89,L,z/zettehe01
411,Paul MacLean,1958-03-09,"Grostenquin, France",188,98,R,/coaches/maclepa01c.html
412,Daniel Alfredsson,1972-12-11,"Gothenburg, Sweden",180,88,R,a/alfreda01
413,Craig Anderson,1981-05-21,"Park Ridge, Illinois",188,84,L,a/andercr01
414,Andre Benoit,1984-01-06,"St. Albert, Ontario",180,86,L,b/benoian01
415,Ben Bishop,1986-11-21,"Denver, Colorado",201,95,L,b/bishobe01
416,Mark Borowiecki,1989-07-12,"Ottawa, Ontario",188,92,L,b/borowma01
417,Cory Conacher,1989-12-14,"Burlington, Ontario",173,81,L,c/conacco01
418,Erik Condra,1986-08-06,"Trenton, Michigan",180,83,R,c/condrer01
419,Jared Cowen,1991-01-25,"Saskatoon, Saskatchewan",196,107,L,c/cowenja01
420,Stephane Da Costa,1989-07-11,"Paris, France",180,83,R,d/dacosst01
421,David Dziurzynski,1989-10-06,None,190,92,L,d/dziurda01
422,Sergei Gonchar,1974-04-13,"Chelyabinsk, USSR",188,95,L,g/gonchse01
423,Derek Grant,1990-04-20,"Abbotsford, British Columbia",190,95,L,g/grantde01
424,Colin Greening,1986-03-09,"St. John's, Newfoundland and Labrador",188,95,L,g/greenco01
425,Eric Gryba,1988-04-14,"Saskatoon, Saskatchewan",193,100,R,g/grybaer01
426,Mike Hoffman,1989-11-24,"Kitchener, Ontario",183,81,L,h/hoffmmi02
427,Erik Karlsson,1990-05-31,"Landsbro, Sweden",183,86,R,k/karlser01
428,Matt Kassian,1986-10-28,"Edmonton, Alberta",193,105,None,k/kassima01
429,Guillaume Latendresse,1987-05-24,"Ste-Catherine, Quebec",188,104,L,l/latengu01
430,Robin Lehner,1991-07-24,"Gothenburg, Sweden",193,108,L,l/lehnero01
431,Mike Lundin,1984-09-24,"Burnsville, Minnesota",188,86,L,l/lundimi01
432,Marc Methot,1985-06-21,"Ottawa, Ontario",193,104,L,m/methoma01
433,Milan Michalek,1984-12-07,"Jindrichuv Hradec, Czechoslovakia",188,102,L,m/michami01
434,Chris Neil,1979-06-18,"Flesherton, Ontario",185,94,R,n/neilch01
435,Jim O'Brien,1989-01-29,"Maplewood, Minnesota",190,88,R,o/obrieji01
436,Jean-Gabriel Pageau,1992-11-11,"Ottawa, Ontario",180,81,R,p/pageaje01
437,Chris Phillips,1978-03-09,"Calgary, Alberta",190,99,L,p/phillch02
438,Peter Regin,1986-04-16,"Herning, Denmark",188,88,L,r/reginpe01
439,Jakob Silfverberg,1990-10-13,"Gavle, Sweden",185,93,R,s/silfvja01
440,Zack Smith,1988-04-05,"Maple Creek, Saskatchewan",188,94,L,s/smithza01
441,Jason Spezza,1983-06-13,"Toronto, Ontario",190,97,R,s/spezzja01
442,Mark Stone,1992-05-13,"Winnipeg, Manitoba",193,99,R,s/stonema01
443,Kyle Turris,1989-08-14,"New Westminster, British Columbia",185,86,R,t/turriky01
444,Patrick Wiercioch,1990-09-12,"Burnaby, British Columbia",196,91,L,w/wiercpa01
445,Mika Zibanejad,1993-04-18,"Huddinge, Sweden",188,94,R,z/zibanmi01
446,Todd Richards,1966-10-20,"Robbinsdale, United States",183,87,R,/coaches/richato01c.html
447,Artem Anisimov,1988-05-24,"Yaroslavl, USSR",193,89,L,a/anisiar01
448,Cam Atkinson,1989-06-05,"Riverside, Connecticut",173,79,R,a/atkinca01
449,Adrian Aucoin,1973-07-03,"Ottawa, Ontario",188,97,R,a/aucoiad01
450,Sergei Bobrovsky,1988-09-20,"Novokuznetsk, USSR",188,82,L,b/bobrose01
451,Jared Boll,1986-05-13,"Charlotte, North Carolina",190,93,R,b/bollja01
452,Matt Calvert,1989-12-24,"Brandon, Manitoba",180,84,L,c/calvema01
453,Sean Collins,1988-12-29,"Saskatoon, Saskatchewan",190,83,L,c/collise02
454,Blake Comeau,1986-02-18,"Meadow Lake, Saskatchewan",185,90,R,c/comeabl01
455,Derek Dorsett,1986-12-20,"Kindersley, Saskatchewan",183,87,R,d/dorsede01
456,Nick Drazenovic,1987-01-14,"Prince George, British Columbia",183,87,L,d/drazeni01
457,Brandon Dubinsky,1986-04-29,"Anchorage, Alaska",188,94,L,d/dubinbr01
458,Tim Erixon,1991-02-24,"Port Chester, New York",188,90,L,e/erixoti01
459,Nick Foligno,1987-10-31,"Buffalo, New York",183,95,L,f/foligni01
460,Colton Gillies,1989-02-12,"White Rock, British Columbia",193,94,L,g/gillico01
461,Cody Goloubef,1989-11-30,"Mississauga, Ontario",185,86,R,g/golouco01
462,Nick Holden,1987-05-15,"St. Albert, Alberta",193,97,L,h/holdeni01
463,Ryan Johansen,1992-07-31,"Vancouver, British Columbia",190,98,R,j/johanry01
464,Jack Johnson,1987-01-13,"Indianapolis, Indiana",185,102,L,j/johnsja02
465,Mark Letestu,1985-02-04,"Elk Point, Alberta",178,88,R,l/letesma01
466,Derek MacKenzie,1981-06-11,"Sudbury, Ontario",180,80,L,m/mackede01
467,Jonathan Marchessault,1990-12-27,"Cap-Rouge, Quebec",175,81,R,a/audymjo01
468,Steve Mason,1988-05-29,"Oakville, Ontario",193,95,R,m/masonst01
469,Nikita Nikitin,1986-06-16,"Omsk, USSR",193,98,L,n/nikitni01
470,Vinny Prospal,1975-02-17,"Ceske Budejovice, Czechoslovakia",188,86,L,p/prospva01
471,Dalton Prout,1990-03-13,"Kingsville, Ontario",190,97,R,p/proutda01
472,David Savard,1990-10-22,"St. Hyacinthe, Quebec",188,105,R,s/savarda01
473,Fedor Tyutin,1983-07-19,"Izhevsk, USSR",188,100,L,t/tyutife01
474,R.J. Umberger,1982-05-03,"Pittsburgh, Pennsylvania",188,97,L,u/umberrj01
475,James Wisniewski,1984-02-21,"Canton, Michigan",180,92,R,w/wisnija01
476,Jack Capuano,1966-07-07,"Cranston, United States",188,95,L,/coaches/capuaja01c.html
477,Keith Aucoin,1978-11-06,"Waltham, Massachusetts",173,77,R,a/aucoike01
478,Josh Bailey,1989-10-02,"Bowmanville, Ontario",185,90,L,b/bailejo01
479,Eric Boulton,1976-08-17,"Halifax, Nova Scotia",183,102,L,b/boulter01
480,Brad Boyes,1982-04-17,"Mississauga, Ontario",183,90,R,b/boyesbr01
481,Matt Carkner,1980-11-03,"Winchester, Ontario",193,102,R,c/carknma01
482,Casey Cizikas,1991-02-27,"Toronto, Ontario",180,88,L,c/cizikca01
483,Rick DiPietro,1981-09-19,"Winthrop, Massachusetts",183,83,R,d/dipieri01
484,Joe Finley,1987-06-29,None,203,112,None,f/finlejo01
485,Michael Grabner,1987-10-05,"Villach, Austria",185,85,L,g/grabnmi01
486,Travis Hamonic,1990-08-16,"St. Malo, Manitoba",188,92,R,h/hamontr01
487,Thomas Hickey,1989-02-08,"Calgary, Alberta",183,83,L,h/hicketh01
488,Jesse Joensuu,1987-10-05,"Pori, Finland",193,95,L,j/joensje01
489,Anders Lee,1990-07-03,"Edina, Minnesota",190,106,L,l/leean01
490,Andrew MacDonald,1986-09-07,"Judique, Nova Scotia",185,92,L,m/macdoan01
491,Matt Martin,1989-05-08,"Windsor, Ontario",190,99,L,m/martima02
492,Radek Martinek,1976-08-31,"Havlicko Brod, Czechoslovakia",183,93,R,m/martira01
493,Colin McDonald,1984-09-30,"New Haven, Connecticut",188,99,R,m/mcdonco01
494,Matt Moulson,1983-11-01,"North York, Ontario",185,92,L,m/moulsma01
495,Evgeni Nabokov,1975-07-25,"Kamenogorsk, USSR",183,91,L,n/nabokev01
496,Frans Nielsen,1984-04-24,"Herning, Denmark",185,84,L,n/nielsfr01
497,Kyle Okposo,1988-04-16,"St. Paul, Minnesota",183,99,R,o/okposky01
498,Kevin Poulin,1990-04-12,"Montreal, Quebec",188,92,L,p/poulike01
499,Marty Reasoner,1977-02-26,"Honeoye Falls, New York",185,89,L,r/reasoma01
500,Brian Strait,1988-01-04,"Waltham, Massachusetts",185,93,L,s/straibr01
501,Mark Streit,1977-12-11,"Bern, Switzerland",180,84,L,s/streima01
502,John Tavares,1990-09-20,"Mississauga, Ontario",185,97,L,t/tavarjo01
503,David Ullstrom,1989-04-22,"Jonkoping, Sweden",188,88,L,u/ullstda01
504,Lubomir Visnovsky,1976-08-11,"Topolcany, Czechoslovakia",178,89,L,v/visnolu01
505,Mike Yeo,1973-07-31,"North Bay, Ontario",None,None,None,/coaches/yeomi99c.html
506,Niklas Backstrom,1978-02-13,"Helsinki, Finland",188,87,L,b/backsni01
507,Pierre-Marc Bouchard,1984-04-27,"Sherbrooke, Quebec",180,77,L,b/bouchpi02
508,Jonas Brodin,1993-07-12,"Karlstad, Sweden",185,89,L,b/brodijo01
509,Kyle Brodziak,1984-05-25,"St. Paul, Alberta",188,92,R,b/brodzky01
510,Brett Clark,1976-12-23,"Wapella, Saskatchewan",183,87,L,c/clarkbr01
511,Cal Clutterbuck,1987-11-18,"Welland, Ontario",183,96,R,c/cluttca01
512,Charlie Coyle,1992-03-02,"E. Weymouth, Massachusetts",190,90,R,c/coylech01
513,Matt Cullen,1976-11-02,"Virginia, Minnesota",185,91,L,c/cullema01
514,Jake Dowell,1985-03-04,"Eau Claire, Wisconsin",183,89,L,d/dowelja01
515,Justin Falk,1988-10-11,"Snowflake, Manitoba",196,101,L,f/falkju01
516,Tom Gilbert,1983-01-10,"Bloomington, Minnesota",188,95,R,g/gilbeto01
517,Mikael Granlund,1992-02-26,"Oulu, Finland",178,83,L,g/granlmi01
518,Matt Hackett,1990-03-07,"London, Ontario",188,81,L,h/hackema01
519,Josh Harding,1984-06-18,"Regina, Saskatchewan",185,91,R,h/hardijo01
520,Dany Heatley,1981-01-21,"Freiburg, Germany",190,96,L,h/heatlda01
521,Mikko Koivu,1983-03-12,"Turku, Finland",190,96,L,k/koivumi01
522,Zenon Konopka,1981-01-02,"Niagara on the Lake, Ontario",183,94,L,k/konopze01
523,Darcy Kuemper,1990-05-05,"Saskatoon, Saskatchewan",196,97,L,k/kuempda01
524,Johan Larsson,1992-07-25,"Lau, Sweden",180,89,L,l/larssjo02
525,Torrey Mitchell,1985-01-30,"Greenfield Park, Quebec",180,84,R,m/mitchto01
526,Zach Parise,1984-07-28,"Minneapolis, Minnesota",180,88,L,p/parisza01
527,Jason Pominville,1982-11-30,"Repentigny, Quebec",180,81,R,p/pominja01
528,Nate Prosser,1986-05-07,"Elk River, Minnesota",188,91,R,p/prossna01
529,Marco Scandella,1990-02-23,"Montreal, Quebec",190,95,L,s/scandma01
530,Devin Setoguchi,1987-01-01,"Taber, Alberta",183,92,R,s/setogde01
531,Jared Spurgeon,1989-11-29,"Edmonton, Alberta",175,75,R,s/spurgja01
532,Clayton Stoner,1985-02-19,"Port McNeill, British Columbia",193,97,L,s/stonecl01
533,Ryan Suter,1985-01-21,"Madison, Wisconsin",185,90,L,s/suterry01
534,Jason Zucker,1992-01-16,"Newport Beach, California",180,87,L,z/zuckeja01
535,Dave Tippett,1961-08-25,"Moosomin, Saskatchewan",178,81,L,/coaches/tippeda01c.html
536,Paul Bissonnette,1985-03-11,"Welland, Ontario",188,97,L,b/bissopa01
537,Mikkel Boedker,1989-12-16,"Brondby, Denmark",183,95,L,b/boedkmi01
538,Alexandre Bolduc,1985-06-26,"Montreal, Quebec",190,90,L,b/boldual01
539,Chris Brown,1991-02-03,"Flower Mound, Texas",188,97,R,b/brownch01
540,Kyle Chipchura,1986-02-19,"Westlock, Alberta",188,92,L,c/chipcky01
541,Chris Conner,1983-12-23,"Westland, Michigan",173,86,L,c/connech01
542,Shane Doan,1976-10-10,"Halkirk, Alberta",185,101,R,d/doansh01
543,Oliver Ekman-Larsson,1991-07-17,"Karlskrona, Sweden",188,90,L,e/ekmanol01
544,Boyd Gordon,1983-10-19,"Unity, Saskatchewan",183,90,R,g/gordobo01
545,Martin Hanzal,1987-02-20,"Pisek, Czechoslovakia",198,104,L,h/hanzama01
546,Chad Johnson,1986-06-10,"Saskatoon, Saskatchewan",190,89,L,j/johnsch02
547,Nick Johnson,1985-12-24,"Calgary, Alberta",188,90,R,j/johnsni01
548,Rostislav Klesla,1982-03-21,"Novy Jicin, Czechoslovakia",190,101,L,k/kleslro01
549,Rob Klinkhammer,1986-08-12,"Lethbridge, Alberta",190,97,L,k/klinkro01
550,Lauri Korpikoski,1986-07-28,"Turku, Finland",185,87,L,k/korpila01
551,Jason LaBarbera,1980-01-18,"Burnaby, British Columbia",190,105,L,l/labarja01
552,Zbynek Michalek,1982-12-23,"Jindrichuv Hradec, Czechoslovakia",188,95,R,m/michazb01
553,Andy Miele,1988-04-15,"Grosse Pointe Woods, Michigan",175,79,L,m/mielean01
554,Derek Morris,1978-08-24,"Edmonton, Alberta",183,90,R,m/morride01
555,Dave Moss,1981-12-28,"Livonia, Michigan",193,95,R,m/mossda01
556,David Rundblad,1990-10-08,"Lycksele, Sweden",188,84,R,r/rundbda01
557,David Schlemko,1987-05-07,"Edmonton, Alberta",185,86,L,s/schleda01
558,Mike Smith,1982-03-22,"Kingston, Ontario",196,99,L,s/smithmi01
559,Michael Stone,1990-06-07,"Winnipeg, Manitoba",190,95,R,s/stonemi01
560,Steve Sullivan,1974-07-06,"Timmins, Ontario",175,74,R,s/sullist01
561,Chris Summers,1988-02-05,"Ann Arbor, Michigan",188,93,L,s/summech01
562,Antoine Vermette,1982-07-20,"St. Agapit, Quebec",185,89,L,v/vermean01
563,Radim Vrbata,1981-06-13,"Mlada Boleslav, Czechoslovakia",185,87,R,v/vrbatra01
564,Keith Yandle,1986-09-09,"Boston, Massachusetts",185,89,L,y/yandlke01
565,Claude Noel,1955-10-31,"Kirkland Lake, Ontario",180,74,L,/coaches/noelcl01c.html
566,Nik Antropov,1980-02-18,"Ust-Kamenogorsk, USSR",198,111,L,a/antroni01
567,Zach Bogosian,1990-07-15,"Massena, New York",188,90,R,b/bogosza01
568,Alexander Burmistrov,1991-10-21,"Kazan, USSR",185,81,L,b/burmial01
569,Dustin Byfuglien,1985-03-27,"Roseau, Minnesota",196,117,R,b/byfugdu01
570,Grant Clitsome,1985-04-14,"Gloucester, Ontario",180,97,L,c/clitsgr01
571,Patrice Cormier,1990-06-14,"Moncton, New Brunswick",188,97,L,c/cormipa01
572,Toby Enstrom,1984-11-05,"Nordingra, Sweden",178,81,L,e/enstrto01
573,Aaron Gagnon,1986-04-24,"Quesnel, British Columbia",178,83,R,g/gagnoaa01
574,Ron Hainsey,1981-03-24,"Bolton, Connecticut",190,92,L,h/hainsro01
575,Olli Jokinen,1978-12-05,"Kuopio, Finland",188,95,L,j/jokinol01
576,Evander Kane,1991-08-02,"Vancouver, British Columbia",188,95,L,k/kaneev01
577,Andrew Ladd,1985-12-12,"Maple Ridge, British Columbia",190,92,L,l/laddan01
578,Bryan Little,1987-11-12,"Edmonton, Alberta",183,86,R,l/littlbr01
579,Derek Meech,1984-04-21,"Winnipeg, Manitoba",180,90,L,m/meechde01
580,Antti Miettinen,1980-07-03,"Hameenlinna, Finland",183,86,R,m/miettan01
581,Al Montoya,1985-02-13,"Chicago, Illinois",188,90,L,m/montoal01
582,Ondrej Pavelec,1987-08-31,"Kladno, Czechoslovakia",190,96,L,p/pavelon01
583,Anthony Peluso,1989-04-18,"North York, Ontario",190,102,R,p/pelusan01
584,Alexei Ponikarovsky,1980-04-09,"Kiev, USSR",193,102,L,p/ponikal01
585,Paul Postma,1989-02-22,"Red Deer, Alberta",190,88,R,p/postmpa01
586,Zach Redmond,1988-07-26,"Traverse City, Michigan",188,96,R,r/redmoza01
587,Mike Santorelli,1985-12-14,"Vancouver, British Columbia",183,85,R,s/santomi01
588,Mark Scheifele,1993-03-15,"Kitchener, Ontario",190,93,R,s/scheima01
589,Jim Slater,1982-12-09,"Lapeer, Michigan",183,90,L,s/slateji01
590,Mark Stuart,1984-04-27,"Rochester, Minnesota",188,97,L,s/stuarma01
591,Chris Thorburn,1983-06-03,"Sault Ste. Marie, Ontario",190,106,R,t/thorbch01
592,Kyle Wellwood,1983-05-16,"Windsor, Ontario",178,82,R,w/wellwky01
593,Blake Wheeler,1986-08-31,"Plymouth, Minnesota",196,102,R,w/wheelbl01
594,James Wright,1990-03-24,"Saskatoon, Saskatchewan",193,95,L,w/wrighja02
595,Peter Laviolette,1964-12-07,"Norwood, United States",188,90,L,/coaches/laviope01c.html
596,Jason Akeson,1990-06-03,"Orleans, Ontario",178,86,R,a/akesoja01
597,Brian Boucher,1977-01-02,"Woonsocket, Rhode Island",188,89,L,b/bouchbr01
598,Daniel Briere,1977-10-06,"Gatineau, Quebec",175,78,R,b/brierda01
599,Ilya Bryzgalov,1980-06-22,"Togliatti, USSR",190,96,L,b/bryzgil01
600,Braydon Coburn,1985-02-27,"Shaunavon, Saskatchewan",196,101,L,c/coburbr01
601,Sean Couturier,1992-12-07,"Phoenix, Arizona",190,93,L,c/coutuse01
602,Ruslan Fedotenko,1979-01-18,"Kiev, USSR",185,90,L,f/fedotru01
603,Kurtis Foster,1981-11-24,"Carp, Ontario",196,102,R,f/fosteku01
604,Bruno Gervais,1984-10-03,"Longueuil, Quebec",185,90,R,g/gervabr01
605,Claude Giroux,1988-01-12,"Hearst, Ontario",180,86,R,g/giroucl01
606,Nicklas Grossmann,1985-01-22,"Stockholm, Sweden",193,104,L,g/grossni01
607,Erik Gustafsson,1988-12-15,"Kvissleby, Sweden",178,81,L,g/gustaer01
608,Adam Hall,1980-08-14,"Kalamazoo, Michigan",188,96,R,h/hallad01
609,Scott Hartnell,1982-04-18,"Regina, Saskatchewan",188,97,L,h/hartnsc01
610,Mike Knuble,1972-07-04,"Toronto, Ontario",190,103,R,k/knublmi01
611,Matthew Konan,1991-09-03,None,193,84,R,k/konanma01
612,Scott Laughton,1994-05-30,"Oakville, Ontario",185,83,L,l/laughsc01
613,Oliver Lauridsen,1989-03-24,"Gentofte, Denmark",198,99,None,l/lauriol01
614,Michael Leighton,1981-05-19,"Petrolia, Ontario",190,84,L,l/leighmi01
615,Andreas Lilja,1975-07-13,"Helsingborg, Sweden",190,99,L,l/liljaan01
616,Brandon Manning,1990-06-04,"Prince George, British Columbia",185,92,L,m/mannibr01
617,Tye McGinn,1990-07-29,"Fergus, Ontario",190,98,L,m/mcginty01
618,Andrej Meszaros,1985-10-13,"Povazska Bystrica, Czechoslovakia",188,101,L,m/meszaan01
619,Matt Read,1986-06-14,"Ilderton, Ontario",178,85,R,r/readma01
620,Zac Rinaldo,1990-06-15,"Mississauga, Ontario",178,87,L,r/rinalza01
621,Jay Rosehill,1985-07-16,"Olds, Alberta",190,97,L,r/rosehja01
622,Brayden Schenn,1991-08-22,"Saskatoon, Saskatchewan",185,90,L,s/schenbr01
623,Luke Schenn,1989-11-02,"Saskatoon, Saskatchewan",188,102,R,s/schenlu01
624,Jody Shelley,1976-02-07,"Thompson, Manitoba",190,104,L,s/shelljo01
625,Wayne Simmonds,1988-08-26,"Scarborough, Ontario",188,83,R,s/simmowa01
626,Maxime Talbot,1984-02-11,"Lemoyne, Quebec",180,84,L,t/talboma01
627,Kimmo Timonen,1975-03-18,"Kuopio, Finland",178,87,L,t/timonki01
628,Jakub Voracek,1989-08-15,"Kladno, Czechoslovakia",188,97,L,v/voracja01
629,Eric Wellwood,1990-03-06,"Windsor, Ontario",180,81,L,w/wellwer01
630,Harry Zolnierczyk,1987-09-01,"Toronto, Ontario",180,81,L,z/zolniha01
631,Ron Rolston,1966-10-14,"Fenton, United States",None,None,None,/coaches/rolstro01c.html
